PetId,EnrollDate,CancelDate,Species,Breed,AgeAtEnroll
46,2011-09-24,2012-05-31,Dog,Mixed Breed,8 weeks to 12 months old
47,2011-02-19,2016-11-01,Cat,Mixed Breed,8 years old
48,2014-08-04,2017-01-02,Dog,Mixed Breed,6 years old
49,2012-03-16,,Cat,Mixed Breed,1 year old
50,2015-12-20,,Dog,Mixed Breed,8 weeks to 12 months old
51,2019-03-25,,Dog,Golden Retriever,8 weeks to 12 months old
52,2012-02-17,,Dog,Mixed Breed,1 year old
53,2015-12-08,2018-11-01,Dog,Mixed Breed,4 years old
54,2018-12-11,,Cat,Mixed Breed,4 years old
55,2017-10-13,2019-04-25,Cat,Mixed Breed,5 years old
56,2018-07-04,2018-09-27,Dog,Golden Retriever,8 weeks to 12 months old
57,2011-08-23,2015-01-30,Dog,Mixed Breed,8 years old
58,2018-07-30,,Cat,Mixed Breed,8 weeks to 12 months old
59,2010-07-24,2011-08-26,Cat,Mixed Breed,9 years old
60,2012-10-18,,Cat,Mixed Breed,8 weeks to 12 months old
61,2010-10-05,2014-02-10,Dog,Mixed Breed,8 weeks to 12 months old
62,2013-01-14,,Cat,Mixed Breed,3 years old
63,2011-12-13,2012-10-19,Dog,French Bulldog,8 weeks to 12 months old
64,2014-07-02,,Dog,Mixed Breed,8 weeks to 12 months old
65,2015-07-11,2015-08-28,Dog,Mixed Breed,8 weeks to 12 months old
66,2012-07-17,,Dog,Mixed Breed,1 year old
67,2010-06-08,,Dog,Golden Retriever,8 weeks to 12 months old
68,2013-07-06,2015-11-15,Dog,Mixed Breed,8 weeks to 12 months old
69,2010-01-10,2015-01-19,Cat,Mixed Breed,5 years old
70,2013-12-21,2014-04-15,Dog,Mixed Breed,8 weeks to 12 months old
71,2018-09-26,,Cat,Mixed Breed,3 years old
72,2014-12-29,2016-11-23,Dog,Mixed Breed,5 years old
73,2014-06-21,,Dog,Mixed Breed,8 weeks to 12 months old
74,2015-01-31,,Dog,Mixed Breed,3 years old
75,2013-04-16,2015-07-17,Dog,French Bulldog,11 years old
76,2013-04-19,2019-05-15,Dog,Chihuahua,8 weeks to 12 months old
77,2018-08-22,2018-09-12,Dog,Mixed Breed,1 year old
78,2014-06-25,2016-03-29,Dog,French Bulldog,8 weeks to 12 months old
79,2018-01-28,,Cat,Mixed Breed,2 years old
80,2018-12-09,,Dog,Golden Retriever,1 year old
81,2009-12-07,,Dog,Golden Retriever,8 weeks to 12 months old
82,2010-06-28,2011-12-08,Dog,Mixed Breed,8 weeks to 12 months old
83,2017-01-18,2017-10-17,Cat,Mixed Breed,5 years old
84,2016-02-13,,Dog,Great Dane,8 weeks to 12 months old
85,2019-05-10,,Cat,Mixed Breed,8 years old
86,2017-08-08,2017-12-27,Dog,Chihuahua,7 years old
87,2014-03-07,2017-12-07,Dog,Mixed Breed,8 weeks to 12 months old
88,2014-04-21,,Dog,Mixed Breed,1 year old
89,2011-08-19,,Dog,Mixed Breed,8 weeks to 12 months old
90,2017-10-18,,Dog,Chihuahua,8 weeks to 12 months old
91,2017-02-08,,Cat,Mixed Breed,8 weeks to 12 months old
92,2015-08-29,,Cat,Mixed Breed,10 years old
93,2011-04-29,,Dog,Mixed Breed,1 year old
94,2016-06-02,,Dog,Mixed Breed,8 weeks to 12 months old
95,2012-11-08,,Cat,Mixed Breed,8 weeks to 12 months old
96,2015-09-11,,Cat,Mixed Breed,5 years old
97,2018-08-29,2019-10-22,Cat,Mixed Breed,0-7 weeks old
98,2015-02-03,,Dog,Mixed Breed,3 years old
99,2012-02-18,2012-12-03,Dog,Mixed Breed,8 weeks to 12 months old
100,2019-04-06,2019-06-03,Cat,Mixed Breed,5 years old
101,2015-01-15,2017-03-09,Cat,Mixed Breed,1 year old
102,2013-07-26,,Cat,Mixed Breed,8 weeks to 12 months old
103,2014-12-16,,Dog,French Bulldog,1 year old
104,2011-01-01,2019-04-08,Dog,Mixed Breed,5 years old
105,2014-11-21,2015-12-19,Dog,Great Dane,8 weeks to 12 months old
106,2012-12-11,2013-02-08,Dog,Mixed Breed,1 year old
107,2017-05-13,2017-11-16,Dog,Chihuahua,8 weeks to 12 months old
108,2016-12-11,,Dog,Mixed Breed,8 weeks to 12 months old
109,2017-09-06,,Cat,Mixed Breed,2 years old
110,2016-06-12,2016-08-02,Cat,Mixed Breed,10 years old
111,2018-01-23,,Cat,Mixed Breed,8 weeks to 12 months old
112,2017-07-20,2017-10-20,Dog,Great Dane,8 weeks to 12 months old
113,2019-11-20,,Dog,Golden Retriever,8 weeks to 12 months old
114,2011-04-20,,Dog,Golden Retriever,3 years old
115,2012-10-09,2014-01-29,Dog,Mixed Breed,1 year old
116,2015-03-17,,Cat,Mixed Breed,8 weeks to 12 months old
117,2012-11-19,,Dog,Mixed Breed,1 year old
118,2013-04-03,2017-10-17,Dog,Mixed Breed,8 weeks to 12 months old
119,2017-07-19,,Cat,Mixed Breed,4 years old
120,2015-02-03,2015-07-08,Dog,Mixed Breed,1 year old
121,2012-08-22,,Cat,Mixed Breed,3 years old
122,2017-11-20,2018-08-17,Dog,Mixed Breed,4 years old
123,2015-08-29,,Dog,Mixed Breed,8 weeks to 12 months old
124,2013-06-02,2013-10-11,Cat,Mixed Breed,8 weeks to 12 months old
125,2013-09-20,2013-10-29,Dog,Mixed Breed,8 weeks to 12 months old
126,2015-08-01,2015-10-05,Dog,Mixed Breed,8 weeks to 12 months old
127,2010-08-05,,Dog,French Bulldog,8 weeks to 12 months old
128,2011-09-21,2013-07-26,Dog,Great Dane,3 years old
129,2014-07-17,2017-08-27,Dog,Golden Retriever,7 years old
130,2019-03-29,,Cat,Mixed Breed,0-7 weeks old
131,2016-08-06,,Cat,Mixed Breed,8 weeks to 12 months old
132,2015-01-25,,Dog,Mixed Breed,2 years old
133,2013-09-24,,Dog,Chihuahua,9 years old
134,2015-05-29,,Dog,Golden Retriever,8 weeks to 12 months old
135,2012-03-25,2019-03-20,Dog,Mixed Breed,4 years old
136,2018-05-28,,Cat,Mixed Breed,8 weeks to 12 months old
137,2015-07-19,2016-06-02,Dog,French Bulldog,8 weeks to 12 months old
138,2018-02-18,2018-08-10,Dog,Chihuahua,5 years old
139,2015-07-29,2016-05-02,Cat,Mixed Breed,3 years old
140,2017-01-03,,Cat,Mixed Breed,8 weeks to 12 months old
141,2018-04-04,,Cat,Mixed Breed,1 year old
142,2015-05-03,,Cat,Mixed Breed,8 weeks to 12 months old
143,2016-08-15,2018-01-01,Dog,Mixed Breed,8 weeks to 12 months old
144,2019-08-13,2019-11-25,Cat,Mixed Breed,8 weeks to 12 months old
145,2015-05-20,2016-04-23,Dog,Mixed Breed,1 year old
146,2010-07-08,,Cat,Mixed Breed,4 years old
147,2011-04-01,,Dog,French Bulldog,8 weeks to 12 months old
148,2019-02-06,,Cat,Mixed Breed,8 weeks to 12 months old
149,2014-05-21,,Dog,Golden Retriever,8 weeks to 12 months old
150,2011-03-28,2016-07-08,Dog,French Bulldog,8 weeks to 12 months old
151,2016-10-15,2017-02-21,Dog,Mixed Breed,4 years old
152,2015-05-04,,Dog,Mixed Breed,8 weeks to 12 months old
153,2013-07-22,,Dog,Mixed Breed,8 weeks to 12 months old
154,2013-05-14,,Cat,Mixed Breed,6 years old
155,2017-07-19,,Cat,Mixed Breed,3 years old
156,2015-01-20,,Cat,Mixed Breed,2 years old
157,2019-09-02,,Dog,French Bulldog,8 weeks to 12 months old
158,2019-01-02,,Cat,Ragdoll,8 weeks to 12 months old
159,2015-01-17,2015-02-02,Cat,Mixed Breed,1 year old
160,2015-04-24,2017-01-07,Dog,Mixed Breed,9 years old
161,2014-02-13,2016-08-31,Dog,Chihuahua,1 year old
162,2015-12-10,,Dog,Mixed Breed,8 weeks to 12 months old
163,2018-11-27,,Dog,Chihuahua,13 years old
164,2016-03-22,,Dog,Golden Retriever,8 weeks to 12 months old
165,2011-04-20,2015-12-22,Dog,Mixed Breed,10 years old
166,2019-11-09,,Cat,Mixed Breed,1 year old
167,2014-02-24,,Dog,Mixed Breed,8 weeks to 12 months old
168,2015-03-31,,Dog,Mixed Breed,3 years old
169,2015-06-07,2018-07-26,Dog,French Bulldog,8 weeks to 12 months old
170,2015-01-30,,Cat,Mixed Breed,6 years old
171,2016-01-10,2016-06-02,Dog,Mixed Breed,8 weeks to 12 months old
172,2010-11-27,2011-07-07,Cat,Mixed Breed,8 years old
173,2015-09-23,,Cat,Mixed Breed,8 weeks to 12 months old
174,2018-12-30,,Dog,Golden Retriever,8 weeks to 12 months old
175,2019-05-17,,Cat,Mixed Breed,8 weeks to 12 months old
176,2017-07-25,2017-08-15,Dog,French Bulldog,8 weeks to 12 months old
177,2010-12-17,2012-09-26,Dog,Mixed Breed,8 weeks to 12 months old
178,2018-11-20,,Dog,Golden Retriever,8 weeks to 12 months old
179,2017-09-12,,Dog,French Bulldog,8 weeks to 12 months old
180,2013-06-06,2014-10-07,Dog,Mixed Breed,13 years old
181,2013-07-01,2015-06-01,Dog,Chihuahua,3 years old
182,2009-11-30,2010-02-10,Dog,Mixed Breed,2 years old
183,2015-01-04,2018-06-13,Dog,Great Dane,8 weeks to 12 months old
184,2015-04-06,2017-04-13,Cat,Mixed Breed,3 years old
185,2015-04-07,2018-10-30,Dog,Mixed Breed,1 year old
186,2016-08-16,2018-08-02,Cat,Mixed Breed,8 weeks to 12 months old
187,2014-12-05,,Cat,Mixed Breed,1 year old
188,2011-12-16,,Dog,Mixed Breed,8 weeks to 12 months old
189,2016-11-01,,Cat,Mixed Breed,3 years old
190,2014-04-03,2018-05-02,Cat,Mixed Breed,8 weeks to 12 months old
191,2016-04-08,2019-07-29,Dog,Mixed Breed,7 years old
192,2013-01-18,,Cat,Mixed Breed,6 years old
193,2017-07-04,,Cat,Mixed Breed,1 year old
194,2017-06-09,,Dog,Golden Retriever,8 weeks to 12 months old
195,2015-12-10,,Dog,Mixed Breed,2 years old
196,2010-11-02,,Cat,Mixed Breed,8 weeks to 12 months old
197,2019-03-23,,Dog,Chihuahua,10 years old
198,2012-03-20,2012-07-23,Cat,Mixed Breed,2 years old
199,2012-08-29,,Dog,Golden Retriever,8 weeks to 12 months old
200,2018-07-25,2019-07-08,Cat,Mixed Breed,8 weeks to 12 months old
201,2012-02-08,2014-08-27,Dog,Golden Retriever,8 weeks to 12 months old
202,2011-08-09,2015-02-27,Cat,Mixed Breed,7 years old
203,2017-08-15,2017-09-05,Dog,Chihuahua,2 years old
204,2018-10-10,,Dog,French Bulldog,8 weeks to 12 months old
205,2014-11-07,,Dog,Mixed Breed,8 weeks to 12 months old
206,2014-06-04,2016-10-12,Cat,Mixed Breed,8 weeks to 12 months old
207,2015-09-22,2018-11-23,Cat,Mixed Breed,3 years old
208,2014-06-04,,Dog,Golden Retriever,8 weeks to 12 months old
209,2016-02-17,2017-09-11,Dog,Mixed Breed,4 years old
210,2019-05-03,,Cat,Mixed Breed,2 years old
211,2014-08-29,,Dog,Great Dane,8 weeks to 12 months old
212,2017-07-07,,Cat,Mixed Breed,3 years old
213,2017-07-10,,Cat,Mixed Breed,8 weeks to 12 months old
214,2019-11-10,,Dog,Mixed Breed,8 weeks to 12 months old
215,2012-05-14,2016-03-10,Dog,Golden Retriever,9 years old
216,2015-01-25,,Dog,Mixed Breed,5 years old
217,2018-02-22,,Cat,Mixed Breed,1 year old
218,2018-02-18,2018-06-11,Dog,Golden Retriever,9 years old
219,2010-10-18,2019-08-09,Cat,Mixed Breed,8 years old
220,2015-10-11,2016-04-14,Dog,Mixed Breed,10 years old
221,2016-04-26,2019-05-20,Dog,Golden Retriever,1 year old
222,2018-06-26,,Cat,Mixed Breed,8 weeks to 12 months old
223,2015-09-23,2015-12-29,Cat,Mixed Breed,6 years old
224,2017-02-06,2017-02-06,Dog,Golden Retriever,8 weeks to 12 months old
225,2014-03-25,,Dog,Mixed Breed,6 years old
226,2015-02-27,,Dog,Mixed Breed,2 years old
227,2014-04-09,2016-04-26,Dog,Mixed Breed,8 weeks to 12 months old
228,2014-01-07,,Dog,Mixed Breed,1 year old
229,2016-10-21,2017-09-06,Dog,French Bulldog,8 weeks to 12 months old
230,2019-02-07,,Dog,Golden Retriever,4 years old
231,2019-08-10,,Cat,Mixed Breed,8 weeks to 12 months old
232,2014-10-24,2015-12-30,Dog,Mixed Breed,6 years old
233,2016-06-05,2016-06-14,Cat,Mixed Breed,8 weeks to 12 months old
234,2019-01-20,,Dog,Great Dane,4 years old
235,2018-11-27,,Dog,Mixed Breed,8 weeks to 12 months old
236,2016-02-02,,Dog,Mixed Breed,7 years old
237,2018-11-25,,Dog,Golden Retriever,8 weeks to 12 months old
238,2010-05-10,2014-10-09,Cat,Mixed Breed,9 years old
239,2018-11-16,,Cat,Mixed Breed,2 years old
240,2011-04-07,2016-06-07,Dog,Mixed Breed,1 year old
241,2014-11-28,2017-02-15,Cat,Mixed Breed,10 years old
242,2016-06-20,,Cat,Mixed Breed,8 weeks to 12 months old
243,2015-12-07,2016-04-05,Cat,Mixed Breed,8 years old
244,2011-11-07,,Dog,Mixed Breed,4 years old
245,2016-08-26,,Dog,Mixed Breed,8 weeks to 12 months old
246,2014-09-03,2015-09-14,Cat,Mixed Breed,12 years old
247,2017-06-19,,Dog,Golden Retriever,8 weeks to 12 months old
248,2014-01-07,,Cat,Mixed Breed,8 weeks to 12 months old
249,2015-01-22,,Dog,Mixed Breed,1 year old
250,2015-10-20,2015-11-27,Cat,Mixed Breed,8 weeks to 12 months old
251,2015-08-14,,Dog,Mixed Breed,8 weeks to 12 months old
252,2019-11-11,,Cat,Mixed Breed,8 weeks to 12 months old
253,2019-09-07,,Cat,Mixed Breed,5 years old
254,2016-12-03,2017-10-18,Cat,Mixed Breed,8 weeks to 12 months old
255,2010-07-25,2015-08-29,Cat,Mixed Breed,7 years old
256,2016-08-20,2017-08-08,Dog,Golden Retriever,8 weeks to 12 months old
257,2019-09-15,2019-11-27,Cat,Mixed Breed,8 weeks to 12 months old
258,2012-11-02,,Dog,French Bulldog,8 weeks to 12 months old
259,2009-12-02,2012-01-10,Dog,Mixed Breed,8 weeks to 12 months old
260,2014-04-25,,Dog,Mixed Breed,8 weeks to 12 months old
261,2012-05-16,,Cat,Mixed Breed,2 years old
262,2017-03-21,,Dog,Golden Retriever,8 weeks to 12 months old
263,2014-02-25,2014-06-24,Dog,Mixed Breed,1 year old
264,2019-11-14,,Cat,Mixed Breed,2 years old
265,2015-06-12,,Dog,Mixed Breed,1 year old
266,2015-01-05,2017-09-05,Cat,Mixed Breed,8 weeks to 12 months old
267,2019-11-19,,Dog,Mixed Breed,8 weeks to 12 months old
268,2010-12-29,2019-02-22,Cat,Mixed Breed,8 weeks to 12 months old
269,2016-10-18,,Dog,Mixed Breed,8 weeks to 12 months old
270,2013-01-03,,Dog,Mixed Breed,8 weeks to 12 months old
271,2013-05-15,,Cat,Mixed Breed,8 weeks to 12 months old
272,2017-06-20,,Cat,Mixed Breed,2 years old
273,2015-06-09,2017-10-24,Dog,Great Dane,8 weeks to 12 months old
274,2014-09-13,,Dog,Mixed Breed,4 years old
275,2017-05-01,,Cat,Mixed Breed,8 weeks to 12 months old
276,2013-07-15,2019-01-29,Dog,Mixed Breed,8 weeks to 12 months old
277,2015-05-18,,Dog,Mixed Breed,2 years old
278,2011-01-23,2011-12-20,Cat,Mixed Breed,8 years old
279,2018-06-26,,Dog,French Bulldog,8 weeks to 12 months old
280,2017-11-29,,Cat,Mixed Breed,8 weeks to 12 months old
281,2018-08-18,,Cat,Mixed Breed,8 weeks to 12 months old
282,2012-12-27,,Dog,Mixed Breed,9 years old
283,2014-02-09,2019-08-23,Cat,Mixed Breed,8 weeks to 12 months old
284,2014-09-11,,Cat,Mixed Breed,1 year old
285,2010-02-15,2011-05-19,Dog,Mixed Breed,2 years old
286,2015-12-01,2018-08-30,Dog,Mixed Breed,8 weeks to 12 months old
287,2014-12-20,,Dog,Mixed Breed,8 weeks to 12 months old
288,2018-06-30,2018-08-06,Cat,Mixed Breed,8 weeks to 12 months old
289,2017-09-18,2018-01-19,Cat,Ragdoll,1 year old
290,2017-09-20,2018-08-23,Dog,Mixed Breed,6 years old
291,2018-03-25,,Dog,Golden Retriever,8 weeks to 12 months old
292,2019-10-26,,Cat,Mixed Breed,2 years old
293,2013-02-06,,Dog,Mixed Breed,3 years old
294,2012-06-20,2016-05-05,Dog,Mixed Breed,8 weeks to 12 months old
295,2015-06-18,2018-11-22,Dog,Mixed Breed,8 weeks to 12 months old
296,2011-07-24,2011-08-09,Dog,Mixed Breed,1 year old
297,2013-11-15,2016-03-01,Dog,Mixed Breed,8 weeks to 12 months old
298,2018-07-21,2019-11-22,Cat,Mixed Breed,10 years old
299,2013-08-13,2018-09-18,Dog,French Bulldog,8 weeks to 12 months old
300,2016-01-30,,Dog,Mixed Breed,8 years old
301,2016-04-22,2016-06-29,Dog,Great Dane,8 weeks to 12 months old
302,2018-08-20,2019-07-25,Cat,Mixed Breed,1 year old
303,2012-06-28,2013-01-02,Dog,Mixed Breed,1 year old
304,2010-12-19,2011-04-22,Cat,Mixed Breed,13 years old
305,2014-05-02,,Dog,Mixed Breed,8 weeks to 12 months old
306,2011-06-02,,Dog,Mixed Breed,8 weeks to 12 months old
307,2019-09-18,,Dog,French Bulldog,8 weeks to 12 months old
308,2015-09-14,2018-05-28,Dog,French Bulldog,8 weeks to 12 months old
309,2019-07-06,,Dog,Golden Retriever,8 weeks to 12 months old
310,2018-11-04,,Dog,French Bulldog,8 weeks to 12 months old
311,2016-09-24,,Cat,Mixed Breed,8 weeks to 12 months old
312,2014-12-12,,Cat,Mixed Breed,1 year old
313,2015-07-02,2018-03-05,Cat,Mixed Breed,10 years old
314,2019-04-17,2019-11-12,Cat,Mixed Breed,8 weeks to 12 months old
315,2019-10-23,,Cat,Mixed Breed,8 weeks to 12 months old
316,2015-04-27,,Cat,Mixed Breed,2 years old
317,2014-10-21,,Cat,Ragdoll,8 weeks to 12 months old
318,2016-07-29,,Dog,Golden Retriever,8 weeks to 12 months old
319,2010-10-12,2019-02-13,Dog,Mixed Breed,8 weeks to 12 months old
320,2014-04-22,2018-01-24,Cat,Mixed Breed,8 weeks to 12 months old
321,2011-01-24,2011-07-26,Dog,Mixed Breed,8 weeks to 12 months old
322,2011-11-20,2018-08-28,Dog,Mixed Breed,5 years old
323,2010-10-08,2019-03-04,Dog,Golden Retriever,2 years old
324,2015-11-10,2017-12-08,Cat,Mixed Breed,8 weeks to 12 months old
325,2011-03-01,2011-12-19,Dog,Mixed Breed,8 weeks to 12 months old
326,2014-09-05,2016-08-09,Cat,Mixed Breed,2 years old
327,2017-04-27,2018-06-29,Dog,Mixed Breed,8 weeks to 12 months old
328,2014-11-19,2019-07-03,Cat,Mixed Breed,1 year old
329,2016-05-31,2019-10-03,Cat,Mixed Breed,11 years old
330,2017-04-10,2019-02-04,Dog,Great Dane,2 years old
331,2011-03-29,2019-02-12,Dog,Mixed Breed,8 years old
332,2014-05-22,,Cat,Mixed Breed,8 weeks to 12 months old
333,2014-08-20,2014-09-24,Dog,Golden Retriever,8 weeks to 12 months old
334,2011-04-03,2014-01-08,Dog,Mixed Breed,8 weeks to 12 months old
335,2015-03-02,,Dog,Mixed Breed,1 year old
336,2014-04-10,2016-12-02,Dog,Mixed Breed,3 years old
337,2010-03-26,2010-04-21,Dog,Mixed Breed,6 years old
338,2016-01-12,2016-02-28,Cat,Mixed Breed,4 years old
339,2014-09-05,,Dog,Mixed Breed,8 weeks to 12 months old
340,2012-07-03,2015-08-06,Dog,Mixed Breed,4 years old
341,2018-11-06,,Cat,Mixed Breed,5 years old
342,2017-12-12,,Dog,Golden Retriever,8 weeks to 12 months old
343,2016-05-19,,Dog,Mixed Breed,8 weeks to 12 months old
344,2013-02-21,2015-01-05,Dog,Mixed Breed,2 years old
345,2011-01-21,2019-04-11,Cat,Mixed Breed,4 years old
346,2015-04-16,,Dog,Mixed Breed,8 weeks to 12 months old
347,2019-06-20,,Cat,Mixed Breed,2 years old
348,2013-07-26,2014-06-02,Cat,Mixed Breed,8 weeks to 12 months old
349,2012-05-14,2012-11-07,Dog,Mixed Breed,8 weeks to 12 months old
350,2013-09-19,,Dog,Mixed Breed,8 weeks to 12 months old
351,2014-01-16,,Dog,Mixed Breed,8 weeks to 12 months old
352,2014-09-12,,Cat,Mixed Breed,2 years old
353,2019-06-20,,Dog,Golden Retriever,1 year old
354,2013-10-14,2017-02-13,Dog,Mixed Breed,2 years old
355,2012-03-13,,Dog,Golden Retriever,8 weeks to 12 months old
356,2012-12-12,,Dog,Mixed Breed,8 weeks to 12 months old
357,2010-10-09,2011-08-18,Dog,Mixed Breed,8 weeks to 12 months old
358,2015-01-03,,Cat,Mixed Breed,5 years old
359,2015-08-22,2017-09-25,Cat,Mixed Breed,13 years old
360,2016-01-13,,Dog,Golden Retriever,5 years old
361,2010-09-15,2011-03-18,Dog,Great Dane,8 weeks to 12 months old
362,2011-12-12,2018-03-27,Dog,Mixed Breed,3 years old
363,2018-10-21,2018-11-26,Cat,Mixed Breed,7 years old
364,2019-09-04,,Cat,Mixed Breed,8 weeks to 12 months old
365,2015-05-22,,Dog,Golden Retriever,8 weeks to 12 months old
366,2013-09-03,,Dog,French Bulldog,1 year old
367,2016-12-28,,Cat,Mixed Breed,5 years old
368,2019-11-09,,Cat,Mixed Breed,8 weeks to 12 months old
369,2015-06-17,,Dog,Mixed Breed,2 years old
370,2015-05-18,,Dog,French Bulldog,8 weeks to 12 months old
371,2011-06-24,2014-02-13,Cat,Mixed Breed,9 years old
372,2016-02-03,2018-04-09,Dog,Mixed Breed,7 years old
373,2013-05-28,2013-09-10,Cat,Mixed Breed,8 years old
374,2015-04-07,,Cat,Mixed Breed,1 year old
375,2015-01-01,,Dog,Mixed Breed,8 weeks to 12 months old
376,2011-03-16,2016-07-11,Dog,Mixed Breed,8 weeks to 12 months old
377,2011-12-21,2012-01-05,Dog,Chihuahua,8 weeks to 12 months old
378,2010-12-21,2016-04-15,Cat,Mixed Breed,4 years old
379,2017-08-03,,Dog,French Bulldog,8 weeks to 12 months old
380,2015-11-18,,Cat,Mixed Breed,8 years old
381,2015-10-18,2016-02-13,Dog,Mixed Breed,8 weeks to 12 months old
382,2018-12-03,,Dog,Golden Retriever,0-7 weeks old
383,2015-07-21,,Dog,Mixed Breed,3 years old
384,2010-09-04,2010-12-24,Cat,Mixed Breed,8 weeks to 12 months old
385,2019-06-30,,Dog,French Bulldog,8 weeks to 12 months old
386,2013-05-09,,Dog,Mixed Breed,3 years old
387,2013-09-19,2014-12-29,Dog,Mixed Breed,3 years old
388,2018-09-19,,Dog,Golden Retriever,8 weeks to 12 months old
389,2015-11-19,2017-05-25,Dog,Mixed Breed,8 weeks to 12 months old
390,2011-02-26,2015-01-27,Dog,Mixed Breed,1 year old
391,2015-05-11,2015-08-07,Dog,Mixed Breed,8 weeks to 12 months old
392,2018-05-18,,Cat,Mixed Breed,8 weeks to 12 months old
393,2018-07-24,2019-05-28,Dog,Mixed Breed,8 weeks to 12 months old
394,2017-05-12,,Cat,Mixed Breed,8 weeks to 12 months old
395,2015-09-10,2016-08-20,Dog,Mixed Breed,8 weeks to 12 months old
396,2014-01-28,2015-11-12,Dog,Golden Retriever,8 weeks to 12 months old
397,2019-08-19,2019-08-31,Cat,Ragdoll,8 weeks to 12 months old
398,2016-06-15,2016-10-03,Dog,Mixed Breed,6 years old
399,2015-12-13,,Cat,Mixed Breed,7 years old
400,2019-11-18,,Dog,Golden Retriever,3 years old
401,2013-11-20,2014-09-17,Dog,Mixed Breed,8 weeks to 12 months old
402,2010-06-12,2016-05-05,Dog,Chihuahua,1 year old
403,2016-02-11,2017-03-18,Dog,Mixed Breed,1 year old
404,2015-03-10,2015-03-27,Cat,Mixed Breed,5 years old
405,2019-06-01,,Cat,Mixed Breed,2 years old
406,2016-12-30,,Dog,Chihuahua,3 years old
407,2012-07-10,2013-02-27,Cat,Mixed Breed,8 weeks to 12 months old
408,2010-09-28,2011-02-17,Dog,Mixed Breed,1 year old
409,2010-09-03,,Dog,Golden Retriever,1 year old
410,2012-12-08,2015-10-05,Dog,Golden Retriever,8 weeks to 12 months old
411,2015-09-26,,Dog,Golden Retriever,8 weeks to 12 months old
412,2013-03-14,,Cat,Mixed Breed,1 year old
413,2010-10-07,2011-09-14,Dog,Mixed Breed,6 years old
414,2012-10-22,2012-10-24,Dog,Mixed Breed,9 years old
415,2017-03-10,,Dog,French Bulldog,8 weeks to 12 months old
416,2015-12-24,,Dog,Mixed Breed,8 weeks to 12 months old
